Hugo_Symbol,T_Paired,P_Paired
CERS5,-3.006744710792136,0.004157534190364764
MKI67,-11.739584936390823,7.546710511740728e-16
IRAK1,-8.599550627984698,2.348552991998879e-11
MGARP,2.316087869656763,0.02477960736327651
IL2RA,-2.1832240730882613,0.033838645312889985
MARCH3,4.141286015231974,0.00013578223612325198
CD55,16.529736528202108,1.118396385622759e-21
TMEM63C,-4.907569846947643,1.061397135740477e-05
SSSCA1,-5.3628050500432325,2.2051289597704514e-06
ATF3,5.625832867028425,8.778084406790675e-07
TDRD12,-2.412232962769138,0.01964465403346236
CDH15,3.0595376559714595,0.003589400385543424
NDUFA12,-4.538002806571615,3.694394468348874e-05
MARK4,-4.75367487134244,1.7905412966344178e-05
KIAA1107,4.7309268124178265,1.9336372741724434e-05
TSFM,-9.050757809894714,4.953867871151714e-12
TBC1D23,-3.1770220614667024,0.0025757375679438432
DHFR,-7.964589097276883,2.1642384993681705e-10
MAPK10,4.033359666094186,0.00019195836110428826
CNIH3,-2.3793357054942703,0.021282560344200965
PTP4A3,4.325124596280337,7.468154511516262e-05
MBTPS2,-4.878101286268291,1.1736088689668786e-05
PUS1,-8.332168689036092,5.959427549762065e-11
DDX27,-5.9406192991616535,2.8888058503515825e-07
B3GNT1,10.15247207253868,1.2152548060259791e-13
C4A,8.62513315220808,2.1490830058114562e-11
C17orf103,12.27725027996025,1.4518342408880304e-16
PIK3R4,-6.416889181019887,5.3118673704065915e-08
NOMO3,-5.959337322691179,2.7034035945749716e-07
EIF4A2,-2.9237118862185776,0.005223688151864339
NMRK2,2.4415018374338433,0.018283746617768343
BMPR2,10.82715859083496,1.3476068246670258e-14
AC090186.1,8.937266626859936,7.313364183396354e-12
RNF32,-3.0975175372600865,0.0032266089696947027
SMIM13,-7.520284400943606,1.041445968094337e-09
NIPAL4,-3.423909107105273,0.0012560994910501828
EPHX4,-3.457896005231138,0.001135485330384334
LNX2,7.71285915916036,5.263484715749767e-10
CTD-2583A14.10,-3.6600656324189753,0.0006167801187123639
GADL1,3.299170579681739,0.0018116734776376779
ACAT2,-3.4482489108777745,0.0011685509899391293
ULBP3,-4.760350739261547,1.7505565128225865e-05
AGPAT3,3.5224448314767467,0.0009361312123433069
ABCC1,-5.615759795638879,9.094552568058029e-07
NEU2,-2.7591017603178276,0.008127220541878786
CHCHD2,-3.369965980493961,0.0014728877715618465
ANO5,15.227751591834942,3.2760387379556396e-20
RALBP1,-2.7750435646944585,0.0077915538977737136
HERPUD2,4.034016677653553,0.0001915563364497629
ZNF596,3.427154338136268,0.0012440760576030564
NFU1,2.366159337693569,0.021972273341880694
MRPL54,6.368909031782179,6.302575796293095e-08
DMXL1,10.402237202322533,5.348493588986113e-14
ZBTB8A,4.354105736088727,6.790535985815797e-05
NFXL1,-5.214960818664094,3.6864841556532843e-06
CTU2,-4.215600404853858,0.00010675923409555589
NPDC1,11.512187436977326,1.5324582594368403e-15
PPP3R1,-6.218639689908487,1.076272406925118e-07
FAT2,-7.449412171281658,1.339402719843786e-09
AMMECR1L,-3.112533445616978,0.003092907503668342
ZFHX2,4.418128103196536,5.499199098242516e-05
RSRC1,-11.364119286826158,2.4392520087867796e-15
MS4A13,-2.188515702386074,0.03342835062827231
UBE2J1,5.20552341913708,3.8090109706987976e-06
PSMA5,-4.787995396977779,1.5941065268182052e-05
CXorf56,-3.733907025342057,0.0004915684804610918
RRP15,-6.145130786165613,1.3978749329810326e-07
IL32,4.409270784694482,5.662403334756752e-05
MYOD1,-2.1699811162996534,0.03488496777180025
RAD51D,-5.6532543779144975,7.970850435734521e-07
KLF17,8.797128798168131,1.1851879708440867e-11
C18orf54,-6.072265916889339,1.8109529914356157e-07
RPUSD4,-3.9906496075264957,0.0002199204356471874
MRPS7,-6.095060266349253,1.6701129938062507e-07
PRRC2B,-2.6594641842026037,0.010545503688872606
LGR4,-8.341472451179502,5.7688333708322356e-11
ANO7,-4.246429978310945,9.65764802938498e-05
CCDC107,10.152707484359597,1.2143107377106546e-13
C10orf112,7.789762861317946,4.010286873009619e-10
NMBR,2.054961211410941,0.04523419716514958
GPATCH8,-2.0487821558055814,0.04585891352732862
