Hugo_Symbol,Log2FC,T_Paired,P_Paired,T_Independent,P_Independent,Is_DEG_Paired,Is_DEG_Indep,Alignment_Category
RAP1GAP,-1.3171875353475277,8.592254775276624,2.4087869073988354e-11,8.370495466361726,4.083134233846205e-13,True,True,Both (Concordant)
MAGED2,-0.34096628748524516,4.232400784738824,0.00010108732276784366,3.962171788783236,0.00014104117255091538,False,False,Neither
C1orf85,0.33623079476694867,-2.9817757816071797,0.004454589646382386,-3.1937767722667494,0.001888802048302471,False,False,Neither
AC018867.2,-3.0375050889459376,1.331092407942172,0.18931904783172684,1.3387588410140454,0.18374652106185538,False,False,Neither
JRKL,0.4749403647427038,-5.173974657485957,4.2485332095251085e-06,-4.290718832107172,4.183206946714264e-05,False,False,Neither
BHLHE40,-0.39993787387759466,2.959035010764136,0.00474227274242252,2.490896635078012,0.014423041458314743,False,False,Neither
NMUR1,-3.2777164486628982,14.896290151712149,7.981702108468495e-20,14.089144475075358,2.6965717548614962e-25,True,True,Both (Concordant)
SPATA18,-1.9390586337251938,6.1969803933276815,1.1624902540916057e-07,6.0774338624130575,2.3423116924262587e-08,True,True,Both (Concordant)
OOSP1,-1.5324388934556472,0.8242855914239132,0.41377177997407244,0.833672725227928,0.40649280630194645,False,False,Neither
SLC17A3,-2.287786460748336,6.402339512198573,5.594640408867856e-08,6.381244066981351,5.843942098029393e-09,True,True,Both (Concordant)
NTPCR,0.4322639454724999,-4.4392950464802325,5.1275532125555824e-05,-4.653311433214193,1.0240982682846532e-05,False,False,Neither
CBWD3,0.36739591604554217,-3.8730852354345346,0.0003187615398817053,-3.0529182645781527,0.002917467486612659,False,False,Neither
TLDC2,-0.6886233900730556,3.899420480110069,0.000293449822843126,3.4496303451195325,0.0008293017688666538,True,True,Both (Concordant)
C14orf119,-0.0009477552766516197,0.012484454101592463,0.9900897987868279,0.013973264579068669,0.9888797182189576,False,False,Neither
PPIAL4D,-0.12124776649590613,0.17954180321417915,0.8582526956584828,0.18467586559054575,0.8538649120286491,False,False,Neither
IFNA5,-2.5649525399896618,4.345420819246419,6.987049889949357e-05,4.2414728503723635,5.037925519203935e-05,True,True,Both (Concordant)
RP11-10J21.3,-1.503657118654146,2.151918750433906,0.03635792562637377,2.0994890247804805,0.03834301964937144,True,True,Both (Concordant)
GNAI2,-1.1345951415489004,16.570086385549324,1.0102583591032548e-21,16.484436015737668,5.174695755884047e-30,True,True,Both (Concordant)
MNDA,-2.2937057844420803,16.56341829454864,1.0273667809684508e-21,14.09783211861584,2.5891556862913016e-25,True,True,Both (Concordant)
RP11-347C12.3,-0.591957242956238,3.9428285507758316,0.00025590660014971863,3.6310310316902825,0.00045113758358292157,True,True,Both (Concordant)
RBM46,2.185150486171189,-1.4430506016056905,0.1553689420336531,-1.1501634664786649,0.2528754798904702,False,False,Neither
CLEC6A,-2.6861346198057574,7.964134042366685,2.1677101268025556e-10,7.4868512269159115,3.102487162335527e-11,True,True,Both (Concordant)
FCGR2A,-1.41525600220986,11.206781743382729,4.009628352354457e-15,10.595751100871276,6.190958741836194e-18,True,True,Both (Concordant)
