Hugo_Symbol,T_Independent,P_Independent
NLGN3,3.4580159486541815,0.0008066536773939167
TNFSF13,19.833802154712398,4.396229860614588e-36
RPS17,-3.4915086133099953,0.0007218788633709414
HSDL2,11.762638111571233,1.9207026167632854e-20
PSPN,3.1120677467778908,0.002434559568231742
NKX6-1,-3.3148253808503134,0.001286342538487819
ST3GAL2,7.518690259116952,2.658913241021887e-11
TBC1D4,3.562033409303238,0.0005700648588176803
ADAR,-2.5821136681237005,0.011299133790798045
MTPN,-2.1243856667621412,0.036154242708757764
RHBDD3,-9.30248354828965,3.95323427037741e-15
MTR,3.1325256093270553,0.002285610911133026
CHRM2,5.444487000832718,3.8479488426983376e-07
LAMTOR3,2.074066968057061,0.04069507433319497
RPS10-NUDT3,-7.49423713161064,2.993451760108831e-11
LSMEM1,4.172271409792463,6.527702679427832e-05
TULP4,-4.799385301431801,5.704582097503572e-06
LENG8,2.9341301152972337,0.004165883748679226
PFDN4,-9.184342300081322,7.131184324839196e-15
LPAR2,-9.190456105063863,6.916824533059856e-15
MRPS16,-7.358958030836181,5.7565449778623053e-11
CASP3,-6.759342593725836,1.0035124015882297e-09
ARSA,2.64213372177293,0.009590997845972416
RP11-998D10.1,2.1000726479234952,0.03829042984551281
FAM102B,3.4330314607888237,0.0008759097684954592
ENPP2,3.5001548412400405,0.0007013998917911
RHBDF2,-5.224578529634772,9.836482426299167e-07
VTN,3.505342939602254,0.0006893760894766411
KIF5B,4.140018149183394,7.358908248984334e-05
SNN,2.2648077373510014,0.025726745885826734
ST6GALNAC5,13.58378562548696,2.9118555045068425e-24
PSMB7,-7.223927277916993,1.102316757460418e-10
UBE2H,-4.432566821416123,2.431401333352944e-05
ASB11,3.9128666606178117,0.00016838392130378806
PHF6,-6.550299281811309,2.669773352099928e-09
NUDCD1,-7.6597865932161815,1.339597086202892e-11
CAPZA2,6.429369180125221,4.679283492064881e-09
ARHGAP29,13.337334282245084,9.388442642755034e-24
AGTR1,15.86557766803038,7.997065434137559e-29
FAM72C,-7.268667161263975,8.891516622687101e-11
WDR66,-6.534489030732974,2.8736083370049263e-09
RCAN2,9.715237532345038,5.02397728587509e-16
CLEC4E,7.7604333317211545,8.200725844802545e-12
NTN3,-3.976200098914306,0.00013407273458915835
SEPN1,5.660714201868704,1.5020552420909967e-07
GDF1,-2.4416975492146835,0.01641125124708019
ST14,-7.292754270188577,7.918902965548655e-11
CIAPIN1,-3.867889667883982,0.00019768309860047778
RBMS3,15.929147748665201,6.023127104968348e-29
EIF3E,-3.131750264724555,0.0022910979440438173
SDAD1,-3.7216569948414833,0.00033031112353609836
ACVRL1,20.85724707559011,8.087586271349152e-38
PLB1,2.3423887864341935,0.021183320564647553
MAP3K4,-2.868812236061644,0.0050463276030846185
HIST1H2BL,-5.523812958139546,2.730317881182049e-07
TARS2,-3.723389021101546,0.0003283331656020423
PUS7,-10.788390576989238,2.3735485005877094e-18
ZNF132,7.086460319106881,2.1285231493653678e-10
DPF1,-4.825945146381424,5.123354927269705e-06
RMI2,-9.82139563832967,2.955068527214964e-16
C6orf10,-3.5671954088700453,0.0005602297159700134
ZNRD1,-5.209953596356888,1.046288851657162e-06
IGSF10,12.774517870043352,1.3935595832979053e-22
PCDHGA9,4.865165722124383,4.36900121232692e-06
ANKRD7,-4.540882053276151,1.5955381852447366e-05
MTCH2,-10.615843608343887,5.6014330732010105e-18
FOSB,5.06085124375377,1.9534628244280124e-06
KCNJ14,-7.686316722246787,1.1772105899077575e-11
JPH2,7.104763405140429,1.9503754164278308e-10
CRIP2,14.321225985614161,9.131035858586782e-26
PALMD,10.806552311840187,2.1686110945097694e-18
GINM1,6.437821624768126,4.499855803019619e-09
APOBEC3C,-4.268267441419866,4.553961879711307e-05
CYP24A1,-3.7297959361038124,0.0003211138938694727
IGFALS,13.811355584450048,9.937601369418584e-25
ZNF705A,4.080163562213894,9.178151005600876e-05
CCT4,-6.258555213526353,1.0269743910507839e-08
BEND7,6.816293449980817,7.673416286885168e-10
CXorf36,7.474323141151462,3.296529076286427e-11
LRRC46,4.180141083226203,6.339022836662166e-05
RPL35A,-5.504144966665494,2.973411895705279e-07
C5orf55,-3.7394475000578873,0.00031052271150913604
NPRL3,-2.3241871524377573,0.022180324961375376
FOXA2,15.353897734856002,7.977242377193928e-28
MSI2,-9.624069067984024,7.924770302412175e-16
RPL21,4.104314777463822,8.397424176360046e-05
TRUB2,-7.38488618802432,5.079617618645239e-11
EVC,4.224487026933381,5.3699606693010055e-05
CEP57L1,-3.7891152825975727,0.0002610690122804714
PANX3,-2.012548428878075,0.046905966821530434
ENTPD1,6.932730718711705,4.423595033670326e-10
SERPINA12,-2.0111607954226,0.047054926276188104
EXOSC2,-9.398579043950184,2.4459853860916488e-15
UTP6,-6.842708086078097,6.773805536919679e-10
SH3YL1,3.1278995507511964,0.00231853100973391
SORBS1,16.859808646822756,1.0067750029041459e-30
MTMR2,-4.318417324441314,3.7657456762671945e-05
NOC2L,-7.0440091073806865,2.6062291486567087e-10
MT-ND1,7.521060533589633,2.6285314771915823e-11
MAP3K7,-6.810515094313707,7.885456409866613e-10
VWA3A,4.413813070796671,2.6137925173241762e-05
STEAP1,-8.26651904988962,6.82654775816353e-13
PIK3C2A,6.477563283808141,3.743264604810731e-09
DNM2,8.2103103951522,9.009285443809887e-13
CYTH1,8.697073678406264,8.082783246516729e-14
FAM195B,3.450927153994224,0.000825760587667824
RNF8,-3.238429114993306,0.001641090362146757
